,date,codneg,preult,voltot
514,2017-07-03,AZUL4,23.76,7861069.0
515,2017-07-03,MOVI3,9.64,8863646.0
516,2017-07-03,PARD3,23.67,5091615.0
517,2017-07-03,WIZS3,18.9,13749838.0
518,2017-07-04,AALR3,18.0,1939820.0
519,2017-07-04,AZUL4,23.92,555767.0
520,2017-07-04,MOVI3,9.36,9819603.0
521,2017-07-04,PARD3,23.51,4096223.0
522,2017-07-04,WIZS3,18.85,2652751.0
523,2017-07-05,AALR3,17.9,2033224.0
524,2017-07-05,AZUL4,24.27,7631162.0
525,2017-07-05,MOVI3,9.34,6221545.0
526,2017-07-05,PARD3,23.9,10142840.0
527,2017-07-05,PSVM11,1.01,1010.0
528,2017-07-05,WIZS3,18.8,16784776.0
529,2017-07-06,AALR3,17.55,3400024.0
530,2017-07-06,AZUL4,24.17,6440993.0
531,2017-07-06,MOVI3,9.49,6249037.0
532,2017-07-06,PARD3,24.29,36489921.0
533,2017-07-06,PSVM11,1.08,10800.0
534,2017-07-06,WIZS3,18.62,10129285.0
535,2017-07-07,AALR3,17.4,3871790.0
536,2017-07-07,AZUL4,25.03,13594347.0
537,2017-07-07,MOVI3,9.5,1909915.0
538,2017-07-07,PARD3,25.28,20725439.0
539,2017-07-07,WIZS3,18.9,41621802.0
540,2017-07-10,AALR3,17.8,2829756.0
541,2017-07-10,AZUL4,25.3,3364153.0
542,2017-07-10,MOVI3,9.36,4905159.0
543,2017-07-10,PARD3,25.79,8002523.0
544,2017-07-10,WIZS3,19.0,10742249.0
545,2017-07-11,AALR3,17.8,4139660.0
546,2017-07-11,AZUL4,24.96,2584663.0
547,2017-07-11,MOVI3,9.36,4480295.0
548,2017-07-11,PARD3,26.23,5015549.0
549,2017-07-11,WIZS3,19.0,7154131.0
550,2017-07-12,AALR3,17.88,2959866.0
551,2017-07-12,AZUL4,24.96,2830696.0
552,2017-07-12,MOVI3,9.44,23284059.0
553,2017-07-12,PARD3,26.6,42689155.0
554,2017-07-12,WIZS3,19.12,46833123.0
555,2017-07-13,AALR3,17.85,3407708.0
556,2017-07-13,AZUL4,25.09,3134369.0
557,2017-07-13,MOVI3,9.75,26126746.0
558,2017-07-13,PARD3,27.2,9527607.0
559,2017-07-13,WIZS3,19.7,32067142.0
560,2017-07-14,AALR3,17.78,1320632.0
561,2017-07-14,AZUL4,25.21,3727737.0
562,2017-07-14,MOVI3,9.73,11218691.0
563,2017-07-14,PARD3,27.18,10541318.0
564,2017-07-14,PSVM11,1.18,238.0
565,2017-07-14,WIZS3,19.75,23905799.0
566,2017-07-17,AALR3,17.9,1023933.0
567,2017-07-17,AZUL4,25.87,10164505.0
